beta_accuracy1,beta_accuracy2,beta_accuracy3,beta_accuracy4,beta_accuracy5,beta_accuracy6
0.120103502909936,0.0499164569332658,0.059172307549149,0.164442722489213,0.121186867185971,0.0695796505373587
0.0985349179538831,0.0927668885217091,0.0965556461674955,0.0886150818998984,0.084711791147408,0.0989249911486635
0.053126369776731,0.0491227274525478,0.111585659541874,0.0501309654016742,0.0318574758754091,0.105885833423661
0.0792897369468241,0.0235798369579322,0.136525347639917,0.109650452138051,0.138157202144583,0.207736721851155
0.0395223754913268,0.135682397075815,0.0411539679087131,0.100647427524418,0.141029692374834,0.0743761128391977
0.0363570478883386,0.113483076260767,0.0905991656877796,0.110691021326013,0.182597835722854,0.216570363363326
0.141142253566561,0.0673290281821739,0.0697080254797122,0.0408666686383525,0.20334522059853,0.249853591979082
0.0404050630058021,0.128350908592129,0.100713325243844,0.122787137836111,0.305876909243449,0.18908581921296
0.079864828288957,0.0552061278886508,0.0507531592977252,0.0891173466136674,0.0578148791491002,0.363601626263786
0.0390340232400847,0.0599003298199219,0.0424393571553681,0.0734698614867536,0.0773318764110231,0.206283062153501
0.0437755101005609,0.0860783883690618,0.0760049406070295,0.13722714978493,0.0729443818510812,0.153164484846299
0.0462928782665992,0.0524972900806093,0.0789341998071793,0.0546620254973585,0.068239534193169,0.0820116219006266
0.0913406824225626,0.0824539531473547,0.102999244740285,0.132294255183319,0.193405753532711,0.066511172418966
0.0544302940811706,0.038104946095649,0.0684670811620861,0.0246820358863758,0.0683322564663128,0.109572711411309
0.04874055871005,0.0666482813922323,0.0488029906041839,0.0757556111875708,0.0824297166518961,0.238106675231729
0.0150049774105087,0.0701887602573047,0.0751325765680782,0.0582270459161154,0.126285868198123,0.0508629155786258
0.0850083163982494,0.0598549292528057,0.139797857729207,0.0759773352320589,0.108799141864354,0.193552239076579
0.109956237811928,0.056244930748591,0.0937036578869102,0.0956831930442429,0.203162093036691,0.276650620887396
0.0810872493057465,0.0565209532079097,0.0879114897933633,0.127805312521487,0.180737011823844,0.0859589462154951
0.0674172975936549,0.058920021665241,0.0590339330742495,0.0651536779957741,0.103622509280704,0.0409150560114144
0.114777197486942,0.122527367766259,0.0683758094367691,0.0886689048346206,0.133393271300047,0.264238689569909
0.0497874402963181,0.157516054566575,0.0878523618912611,0.100900226219687,0.0699715541540938,0.105336372197562
0.12583565703948,0.0519727301122846,0.0583476502221928,0.0769894968232045,0.0954563386713596,0.210159955234474
0.0989232192635803,0.0643934646693834,0.0690758825255075,0.049669768149096,0.0612637657516636,0.332172942762915
0.0582661928829598,0.085566236235215,0.0456556133995203,0.0912403463837254,0.112674174701833,0.103065214317342
0.0499059704231463,0.118149491940818,0.0734305959113637,0.0528647101428408,0.0973703108831425,0.34438473344187
0.0699601846118703,0.0722458668936645,0.0843052138494071,0.0953408353309522,0.0734353161539902,0.252945929822186
0.0920842401167469,0.0587822386907762,0.0898058933862281,0.108839035143486,0.0742258977616423,0.0526845712605794
0.0497305341514301,0.0949884913079729,0.0829740018377381,0.108827497506799,0.194033165968129,0.264757302787664
0.173364211382169,0.106400566789434,0.120164176513773,0.0647652521030852,0.150499183171124,0.257816292984891
0.0905984553374113,0.0946951514255403,0.0667320605905041,0.0721209169123185,0.132235149835764,0.25935168653814
0.0962095489095176,0.053583612365884,0.0574891992075287,0.091794659642643,0.134995693918275,0.353654364719774
0.0869141804428846,0.0709292280193569,0.0527332816102986,0.128070983498621,0.0674378823955972,0.201809327859765
0.0895065210207319,0.0301444670097176,0.08826743173403,0.117521342206379,0.0499674666466596,0.0941899629631526
0.0317700096318444,0.046941889356852,0.0414471945394656,0.0883891835756116,0.0965467250013598,0.0569895268747613
0.0422732008888859,0.0507602375942428,0.039818168486839,0.0663106742601026,0.0325408856917125,0.194902701409983
0.0846885441818088,0.109659321721066,0.104604057798649,0.0927861511824863,0.0460936244315071,0.190499194231478
0.100649132886957,0.0792133108698122,0.0344074592240126,0.0887164736510995,0.0403061238244037,0.424224223745323
