beta_accuracy1,beta_accuracy2,beta_accuracy3,beta_accuracy4,beta_accuracy5,beta_accuracy6
0.277997583184333,0.272436251347552,0.145573904456895,0.244584327604717,0.153911725798818,0.403828461023194
0.104860530322043,0.198735600352162,0.208717904554671,0.17588563713961,0.198999763446034,0.587196236062633
0.125734085991191,0.152251600638696,0.122803595278255,0.154825998069479,0.205698953233514,0.645639344738562
0.186381066538933,0.169374276524975,0.180507353609831,0.406318204428182,0.397101572409712,0.520944697576061
0.228190934820484,0.105608719466782,0.180415995050909,0.182404957026063,0.239335334912954,0.224857487827603
0.235118352359228,0.290993869488375,0.288424226164815,0.255077218651375,0.346493662928616,0.850748109700341
0.143266277978086,0.37346390294115,0.120450881586079,0.291176278836981,0.416688330470044,0.309433311513399
0.279978588608249,0.132102239835248,0.189887725613039,0.244586409598064,0.358095824702619,0.416794596725936
0.127162544219369,0.099550953718856,0.336237409188963,0.0760714994850166,0.289593937977332,1.06216220414794
0.253971314810725,0.243355907959856,0.121787588378179,0.105736925576876,0.15741674961649,0.626897804942352
0.290966156588923,0.253283121551802,0.215658910862042,0.134508526644521,0.231384557086752,0.226422739370119
0.166806491627522,0.14160188313143,0.239456217023169,0.257611656823233,0.327239731412248,0.92201181168813
0.19804069217663,0.14117711964734,0.198377186078067,0.172105459808447,0.126745749192122,0.300702745850599
0.155933333882832,0.149664292460068,0.272659882047704,0.164276836913973,0.259901532959579,0.541169567617272
0.135597962188965,0.25175789063698,0.239014872667631,0.324077506703973,0.111924788225786,0.296070715337489
0.150143692265828,0.227485793590178,0.293352740175218,0.0902259068629785,0.353034361101272,1.18541785611582
0.265844278893841,0.0906175767492121,0.124382625309887,0.104967462972065,0.140589653700697,0.124984622294906
0.15199340689411,0.164443089662892,0.209201492943446,0.21017986186286,0.266864536863806,0.235601718922327
0.232581666062904,0.124403095308277,0.308867282276405,0.110507241157936,0.212626191097751,0.579203520078134
0.112319047183032,0.170418562956234,0.184626382515918,0.164088060851195,0.14047823440511,1.1943435107524
0.201398364017782,0.171552605096843,0.333447364744588,0.172897595461326,0.539090792600416,0.693871279307565
0.276947278775017,0.14277236221892,0.158775838511015,0.325887371575069,0.207566239173466,1.28813436765384
0.211382940791124,0.204041120798788,0.175191814974824,0.161703014296569,1.21759915083547,1.20073386658309
0.194832285073143,0.267056527270057,0.240403194207174,0.312026365794213,0.4129787991272,0.30537940686857
0.171340720789704,0.101807327315207,0.205270972891062,0.324657174320613,0.254840687125515,0.873913482212683
0.205890653254115,0.0735347994788357,0.0993509541360307,0.291958893770839,0.795842933344012,0.780270306304559
0.140044841954948,0.194059253424781,0.183069345528457,0.203406413757493,0.327453795606779,0.687952021305837
0.093143620203395,0.235442235593887,0.195995707077636,0.260474994667383,0.364728546487748,0.22316002416876
0.125267186446402,0.242533856220957,0.239915271623276,0.313013240701863,0.489626839721071,0.33487401509866
0.15729429000266,0.122347682510358,0.180281451986882,0.306566780579768,0.154853859336633,0.296734559691194
0.306457389578377,0.230666761795821,0.244942796963098,0.294977326261401,0.234924077878129,0.794008780528897
0.198946525167537,0.438037453802112,0.265260435988799,0.30102083655383,0.324080766010709,0.169554801030396
0.172919838503583,0.177474667398117,0.272360696899467,0.241059691375286,0.189945163804594,1.38144064210468
0.238765610930576,0.180033297931723,0.133035810698999,0.543512226847887,0.125775748822702,0.806621030328921
0.273390420782482,0.201002429511577,0.135096740330773,0.323255781248851,0.271011075983472,0.309308093017402
0.283281514335558,0.154366425423004,0.0426994017204289,0.315469885851008,0.3101708511579,1.33201244868071
0.208414379331743,0.171622475055943,0.319747096626899,0.228612750269453,0.147926309972484,0.612542053075242
